195	NEW - 100 American Made Flag - 2.5X4 USA	 Brand new American flag. All flags are manufactured by goodwill employees and 100 made in the USA. The flags are of the highest quality, each component is sourced and manufactured in the United States.         Brand : Goodwill Industries        Approximate Measurement: 2.5' X 4'        Material: Nylon        Condition: New, Sealed in bag.        Color: Red, White, Blue.      NOTES:  Disclaimer: All items are described to the best of our abilities. All measurements are approximate and measured in inches. Please see and review pictures for more details. Please ask all questions prior to bidding. All auctions are SOLD AS-IS with no warranty or guarantee.      **Please ask any questions before placing a bid**                    **Items have Not Been Tested unless otherwise stated**  **WE REQUIRE 24 HOUR NOTIFICATION- for item Pick Up**  Shipping Advice   *Please understand shipping prices from USPS and FED EX are weight and zone based            we do not make up shipping prices.                                *We will do our very best to assist you saving on shipping - we allow combining items                   (PLEASE JUST SEND US A TICKET WITH YOUR ITEM NUMBER)  *Once an order has been paid for we are unable to modify*  *Please email us an order number when you have all your items in your shopping cart, we will take a look to see if we can modify your shipping to save you money.   RETURN POLICY  All items are sold as is unless otherwise stated on the listing. Items described as (not tested) are NOT eligible for return - all other returns must have prior authorization-  **we do not refund shipping and handling charges unless otherwise specified**
195	NEW - 100 American Made Flag - 3X5 USA	 Brand new American flag. All flags are manufactured by Goodwill employees and 100 made in the USA. The flags are of the highest quality, each component is sourced and manufactured in the United States.         Brand : Goodwill Industries        Approximate Measurement: 3' X 5'        Material: Nylon        Condition: New, Sealed in bag.        Color: Red, White, Blue.      NOTES:  Disclaimer: All items are described to the best of our abilities. All measurements are approximate and measured in inches. Please see and review pictures for more details. Please ask all questions prior to bidding. All auctions are SOLD AS-IS with no warranty or guarantee.      **Please ask any questions before placing a bid**                    **Items have Not Been Tested unless otherwise stated**  **WE REQUIRE 24 HOUR NOTIFICATION- for item Pick Up**  Shipping Advice   *Please understand shipping prices from USPS and FED EX are weight and zone based            we do not make up shipping prices.                                *We will do our very best to assist you saving on shipping - we allow combining items                   (PLEASE JUST SEND US A TICKET WITH YOUR ITEM NUMBER)  *Once an order has been paid for we are unable to modify*  *Please email us an order number when you have all your items in your shopping cart, we will take a look to see if we can modify your shipping to save you money.   RETURN POLICY  All items are sold as is unless otherwise stated on the listing. Items described as (not tested) are NOT eligible for return - all other returns must have prior authorization-  **we do not refund shipping and handling charges unless otherwise specified**
240	Box of 12 Edge Trim Reducers for Deck Patio Tiles	TITLE  Box of 12 Edge Trim Reducers for Deck Patio Tiles    These are used to complement the interlocking patio tiles to give them a professional trim, covering exposure of the interlocking connections that might show along the edge of your project.  Please note that the square center tile pictured is NOT included.  Only available at the buy now price of $8.99  1 cent shipping and Handling is $1  Due to weight restrictions, a maximum of 6 boxes can be combined into one order. Additional quantity will need a separate order.  Need additional styles, colors, or complementary edge trim for your tiles? We are listing a variety of these boxes - See if there are any left - Search auctions for patio tiles!    DESCRIPTION  The below information was provided by the manufacturer's website. Also check out https://www.youtube.com/watch?v=c7lTu1cGYCg to watch a video that shows how easily this product can make a difference in your outdoor space!     Manufacturer: Greenwood Products  Make/Model: Floordeck  Material: Wood Plastic Composite  Style/Pattern: Gravel Gray    MEASUREMENTS     Dimensions: Each box contains contains 12 trim-reducers, individually measuring 12x2x1 inches  Weight: Each Box weighs 3.5 lbs    All measurements/weights are approximate, and are of the entire item unless otherwise specified.  All shipping carriers now charge based on dimensional weight. This means shipping costs are based on the size of the package, not necessarily the physical weight of the item. Please click on the SHIPPING tab above for a cost estimate.  CONDITION    Like new condition    All of our items are donations that have been previously owned/purchased. They are in used condition and will contain unseen flaws and/or imperfections in addition to the information listed here. Items are sold with all faults, whether or not immediately apparent. We do not claim to be experts or appraisers of any items listed on ShopGoodwill. We will miss some details for which an interested bidder would know to look. Please keep this in mind when shopping with us and ask all questions prior to placing a bid.  QUESTION ABOUT THIS ITEM?  Please submit a ticket via your CUSTOMER SERVICE tab in MY ACCOUNT, or use the CONTACT SELLER button by the item pictures above. We strive to respond to all inquiries within 2 business days.  Our support team is available Monday through Friday from 8:30am to 3:30pm PST. We are closed on weekends and major holidays. Item questions submitted on the auction closing date or over weekends or holidays when auctions close may go unanswered.  Thank you for shopping with us! Be sure to visit the SELLER INFO tab prior to placing a bid to read about our complete terms and condition of sale, customer service information, combined shipping and local pick-up options, and our return and refund policy.  ABOUT US  Goodwill Industries of San Diego County operates through the resale or recycling of donated goods. We sell donations online to give our most collectible items exposure to a nationwide audience. This helps maximize the value of each donation and generates revenue for our mission - to get people with disabilities and other barriers to employment jobs by developing their skills and habits through training and real work. Help us continue providing independence, pride, and a sense of purpose to thousands of San Diegans by donating or shopping today.
240	Box of 12 Edge Trim Reducers for Deck Patio Tiles	TITLE  Box of 12 Edge Trim Reducers for Deck Patio Tiles    These are used to complement the interlocking patio tiles to give them a professional trim, covering exposure of the interlocking connections that might show along the edge of your project.  Please note that the square center tile pictured is NOT included.  Only available at the buy now price of $8.99  1 cent shipping and Handling is $1  Due to weight restrictions, a maximum of 6 boxes can be combined into one order. Additional quantity will need a separate order.  Need additional styles, colors, or complementary edge trim for your tiles? We are listing a variety of these boxes - See if there are any left - Search auctions for patio tiles!    DESCRIPTION  The below information was provided by the manufacturer's website. Also check out https://www.youtube.com/watch?v=c7lTu1cGYCg to watch a video that shows how easily this product can make a difference in your outdoor space!     Manufacturer: Greenwood Products  Make/Model: Floordeck  Material: Wood Plastic Composite  Style/Pattern: Satillo    MEASUREMENTS     Dimensions: Each box contains contains 12 trim-reducers, individually measuring 12x2x1 inches  Weight: Each Box weighs 3.5 lbs    All measurements/weights are approximate, and are of the entire item unless otherwise specified.  All shipping carriers now charge based on dimensional weight. This means shipping costs are based on the size of the package, not necessarily the physical weight of the item. Please click on the SHIPPING tab above for a cost estimate.  CONDITION    Like new condition    All of our items are donations that have been previously owned/purchased. They are in used condition and will contain unseen flaws and/or imperfections in addition to the information listed here. Items are sold with all faults, whether or not immediately apparent. We do not claim to be experts or appraisers of any items listed on ShopGoodwill. We will miss some details for which an interested bidder would know to look. Please keep this in mind when shopping with us and ask all questions prior to placing a bid.  QUESTION ABOUT THIS ITEM?  Please submit a ticket via your CUSTOMER SERVICE tab in MY ACCOUNT, or use the CONTACT SELLER button by the item pictures above. We strive to respond to all inquiries within 2 business days.  Our support team is available Monday through Friday from 8:30am to 3:30pm PST. We are closed on weekends and major holidays. Item questions submitted on the auction closing date or over weekends or holidays when auctions close may go unanswered.  Thank you for shopping with us! Be sure to visit the SELLER INFO tab prior to placing a bid to read about our complete terms and condition of sale, customer service information, combined shipping and local pick-up options, and our return and refund policy.  ABOUT US  Goodwill Industries of San Diego County operates through the resale or recycling of donated goods. We sell donations online to give our most collectible items exposure to a nationwide audience. This helps maximize the value of each donation and generates revenue for our mission - to get people with disabilities and other barriers to employment jobs by developing their skills and habits through training and real work. Help us continue providing independence, pride, and a sense of purpose to thousands of San Diegans by donating or shopping today.
240	Box of 12 Edge Trim Reducers for Deck Patio Tiles	TITLE  Box of 12 Edge Trim Reducers for Deck Patio Tiles    These are used to complement the interlocking patio tiles to give them a professional trim, covering exposure of the interlocking connections that might show along the edge of your project.  Please note that the square center tile pictured is NOT included.  Only available at the buy now price of $8.99  1 cent shipping and Handling is $1  Due to weight restrictions, a maximum of 6 boxes can be combined into one order. Additional quantity will need a separate order.  Need additional styles, colors, or complementary edge trim for your tiles? We are listing a variety of these boxes - See if there are any left - Search auctions for patio tiles!    DESCRIPTION  The below information was provided by the manufacturer's website. Also check out https://www.youtube.com/watch?v=c7lTu1cGYCg to watch a video that shows how easily this product can make a difference in your outdoor space!     Manufacturer: Greenwood Products  Make/Model: Floordeck  Material: Wood Plastic Composite  Style/Pattern: Slate    MEASUREMENTS     Dimensions: Each box contains contains 12 trim-reducers, individually measuring 12x2x1 inches  Weight: Each Box weighs 3.5 lbs    All measurements/weights are approximate, and are of the entire item unless otherwise specified.  All shipping carriers now charge based on dimensional weight. This means shipping costs are based on the size of the package, not necessarily the physical weight of the item. Please click on the SHIPPING tab above for a cost estimate.  CONDITION    Like new condition    All of our items are donations that have been previously owned/purchased. They are in used condition and will contain unseen flaws and/or imperfections in addition to the information listed here. Items are sold with all faults, whether or not immediately apparent. We do not claim to be experts or appraisers of any items listed on ShopGoodwill. We will miss some details for which an interested bidder would know to look. Please keep this in mind when shopping with us and ask all questions prior to placing a bid.  QUESTION ABOUT THIS ITEM?  Please submit a ticket via your CUSTOMER SERVICE tab in MY ACCOUNT, or use the CONTACT SELLER button by the item pictures above. We strive to respond to all inquiries within 2 business days.  Our support team is available Monday through Friday from 8:30am to 3:30pm PST. We are closed on weekends and major holidays. Item questions submitted on the auction closing date or over weekends or holidays when auctions close may go unanswered.  Thank you for shopping with us! Be sure to visit the SELLER INFO tab prior to placing a bid to read about our complete terms and condition of sale, customer service information, combined shipping and local pick-up options, and our return and refund policy.  ABOUT US  Goodwill Industries of San Diego County operates through the resale or recycling of donated goods. We sell donations online to give our most collectible items exposure to a nationwide audience. This helps maximize the value of each donation and generates revenue for our mission - to get people with disabilities and other barriers to employment jobs by developing their skills and habits through training and real work. Help us continue providing independence, pride, and a sense of purpose to thousands of San Diegans by donating or shopping today.
110	NIB Stonehenge Anthology Board Game w/ Expansion	Stonehenge: An Anthology Board Game + Stonehenge Nocturne: An Anthology Board Game Expansion  Publisher: Titanic Games (Paizo Publishing)  Designers: Richard Borg, James Ernest, Bruno Faidutti, Richard Garfield, Mike Selinker, Klaus-Jurgen Wrede, Bruno Cathala and Serge Laget, Andrew Looney  Description from the manufacturer:  Stonehenge has always been a mystery, its original purpose lost in time. Titanic Games asks the question: what would five world-class game designers make of such a location if they were the ones to discover it?  Titanic Games presents the world's first Anthology Board GameT. We gathered together five talented game designers and gave each of them the same board and pieces. Five unique designers resulted in five unique games: an Arthurian showdown by Richard Borg, a monumental fire sale by James Ernest, a druidic election by Bruno Faidutti, a magical convocation by Richard Garfield, and an alien chariot race by Mike Selinker.  Stonehenge contains:   One rulebook with five games   One game board   One deck of 65 cards   Five plastic trilithons  50 plastic disks   50 plastic bars   Six plastic pawns  Item Condition  Both items are new/sealed in original shrink wrap.  Shipping Info  This listing purchase offers PENNY SHIPPING! For just ONE PENNY added to the cost of your winning bid, you can have this item shipped to your door!    Packages weighing less than 1lb are shipped using Mail Innovations with an end delivery by USPS if the invoiced value is less than $100. Other packages are shipped via FedEx or other major carrier.
2122	NWT Louisville Slugger Baseball Pant Wht/Blk SzS	Louisville Slugger Adult S Heavy Warp Pro Weight Relax Fit Baseball Pant w/Piping- White/Black      Brand: Louisville Slugger   Material: Polyester  Color: White/Black  Size: S  Measurements Laid Flat (inches):-    Waist: 14  Rise: 12.5  Inseam: 33    Condition: New with tags      SEE PHOTOS. ITEM SOLD AS IS.  We describe all items to the best of our ability.   We are NOT experts in any field. Please bid accordingly.
2123	NWT Easton Pro Plus Baseball Pant w/Elastic SzM	NWT Easton Adult M Pro Plus Baseball Pant w/Elastic- White      Brand: Easton  Material: Polyester  Color: White  Size: M  Measurements Laid Flat (inches):-    Waist: 16  Rise: 12.5   Inseam: 29    Condition: New with tags      SEE PHOTOS. ITEM SOLD AS IS.  We describe all items to the best of our ability.   We are NOT experts in any field. Please bid accordingly.
2123	NWT Mizuno Premier Pro Baseball Pant w/Piping SzM	NWT Mizuno Adult M Premier Pro Baseball Pant w/Piping- White/Black    Brand: Mizuno  Material: Polyester  Color: White/Black  Size: M  Measurements Laid Flat (inches):-    Waist: 16  Rise: 12.5  Inseam: 33.5    Condition: New with tags      SEE PHOTOS. ITEM SOLD AS IS.  We describe all items to the best of our ability.   We are NOT experts in any field. Please bid accordingly.
2122	NWT Easton Quantum Plus Piped Baseball Pant SzS	NWT Easton Adult S Quantum Plus Piped Baseball Pant- Gray/Red      Brand: Easton  Material: Polyester  Color: Gray/Red  Size: S  Measurements Laid Flat (inches):-    Waist: 15  Rise: 12.5  Inseam: 35    Condition: New with tags      SEE PHOTOS. ITEM SOLD AS IS.  We describe all items to the best of our ability.   We are NOT experts in any field. Please bid accordingly.
